CustomerID,Recency,Frequency,Monetary
CUST0126,16,4,217.72
CUST0127,51,5,252.13
CUST0128,59,4,270.94
CUST0129,1,5,184.92
CUST0130,21,6,300.22
CUST0131,16,1,51.13
CUST0132,7,3,119.27
CUST0133,3,2,147.99
CUST0134,12,5,228.13
CUST0135,85,4,75.75
CUST0136,11,7,307.79
CUST0137,21,7,384.89
CUST0138,36,2,64.26
CUST0139,13,6,202.25
CUST0140,107,7,273.52
CUST0141,98,2,148.85
CUST0142,8,7,281.8
CUST0143,20,5,392.91
CUST0144,10,7,263.91
CUST0145,10,6,339.0
CUST0146,1,5,205.38
CUST0147,28,6,390.49
CUST0148,20,5,138.17
CUST0149,1,4,259.43
CUST0150,9,7,365.94
CUST0151,71,1,37.2
CUST0152,8,8,373.4
CUST0153,4,4,322.71
CUST0154,20,5,263.78
CUST0155,127,3,107.84
CUST0156,8,7,181.34
CUST0157,33,2,120.22
CUST0158,43,5,269.58
CUST0159,8,10,639.0
CUST0160,39,7,145.29
CUST0161,13,7,185.88
CUST0162,30,10,729.38
CUST0163,30,1,56.63
CUST0164,23,5,303.34
CUST0165,2,3,92.24
CUST0166,54,8,243.04
CUST0167,11,7,488.78
CUST0168,6,3,212.3
CUST0169,1,1,28.23
CUST0170,26,5,122.06
CUST0171,33,3,143.48
CUST0172,1,6,204.08
CUST0173,21,3,100.79
CUST0174,7,4,99.89
CUST0175,31,5,203.16
CUST0176,5,8,215.25
CUST0177,35,7,196.64
CUST0178,14,5,279.84
CUST0179,82,4,195.58
CUST0180,4,6,358.19
CUST0181,12,8,136.15
CUST0182,3,4,200.79
CUST0183,77,3,274.54
CUST0184,62,2,85.11
CUST0185,8,3,199.48
CUST0186,32,9,596.88
CUST0187,50,5,336.52
CUST0188,24,4,213.33
CUST0189,22,7,429.25
CUST0190,8,8,511.84
CUST0191,2,4,250.84
CUST0192,68,4,110.61
CUST0193,69,8,126.82
CUST0194,30,5,94.64
CUST0195,12,5,222.98
CUST0196,12,6,371.27
CUST0197,38,7,195.38
CUST0198,68,2,136.96
CUST0199,65,1,39.95
CUST0200,45,7,281.01
CUST0201,30,5,166.39
CUST0202,2,4,49.22
CUST0203,5,4,218.35
CUST0204,68,3,252.76
CUST0205,27,8,389.97
CUST0206,1,7,90.91
CUST0207,3,1,65.61
CUST0208,32,2,35.01
CUST0209,1,4,103.28
CUST0210,5,6,271.4
CUST0211,23,4,209.83
CUST0212,35,6,178.96
CUST0213,31,8,355.63
CUST0214,7,7,450.12
CUST0215,37,5,335.22
CUST0216,8,2,150.06
CUST0217,11,1,88.19
CUST0218,41,7,463.38
CUST0219,31,4,182.66
CUST0220,56,1,67.19
CUST0221,32,6,356.01
CUST0222,25,5,300.64
CUST0223,2,8,428.36
CUST0224,13,5,158.79
CUST0225,9,4,117.75
CUST0226,8,10,480.58
CUST0227,108,7,370.85
CUST0228,14,4,145.64
CUST0229,66,8,467.73
CUST0230,29,5,458.08
CUST0231,47,5,75.57
CUST0232,20,5,308.22
CUST0233,25,2,97.36
CUST0234,20,3,177.04
CUST0235,6,4,165.54
CUST0236,38,9,423.71
CUST0237,9,1,52.59
CUST0238,1,5,219.84
CUST0239,31,5,97.95
CUST0240,5,5,226.61
CUST0241,84,5,108.36
CUST0242,92,4,252.26
CUST0243,73,9,114.2
CUST0244,13,6,423.44
CUST0245,1,2,117.18
CUST0246,79,6,352.01
CUST0247,16,6,40.28
CUST0248,102,6,260.57
CUST0249,99,5,365.36
CUST0250,57,2,79.26
CUST0251,10,5,142.19
CUST0252,14,3,111.8
CUST0253,57,3,145.9
CUST0254,11,3,98.92
CUST0255,5,6,448.06
CUST0256,24,6,292.24
CUST0257,82,4,155.55
CUST0258,35,5,119.87
CUST0259,25,5,298.44
CUST0260,3,7,414.63
CUST0261,28,5,170.78
CUST0262,138,3,15.82
CUST0263,4,4,232.86
CUST0264,21,7,323.85
CUST0265,62,5,283.61
CUST0266,40,7,624.0
CUST0267,35,8,395.71
CUST0268,36,7,278.06
CUST0269,13,5,135.27
CUST0270,10,8,350.01
CUST0271,49,4,212.85
CUST0272,49,6,306.4
CUST0273,60,8,675.75
CUST0274,73,6,359.89
CUST0275,21,3,141.91
CUST0276,20,8,286.95
CUST0277,48,4,221.33
CUST0278,31,7,223.02
CUST0279,36,2,107.19
CUST0280,47,10,597.48
CUST0281,66,6,274.03
CUST0282,12,4,149.58
CUST0283,14,5,31.47
CUST0284,2,6,437.26
CUST0285,25,4,232.26
CUST0286,1,5,292.76
CUST0287,18,6,112.64
CUST0288,23,3,232.79
CUST0289,10,7,284.87
CUST0290,26,7,309.57
CUST0291,1,8,228.91
CUST0292,1,4,57.04
CUST0293,51,7,512.03
CUST0294,13,3,227.2
CUST0295,4,4,186.76
CUST0296,22,4,145.65
CUST0297,44,1,42.46
CUST0298,7,1,43.01
CUST0299,29,1,26.0
CUST0300,2,7,309.08
CUST0301,1,5,265.31
CUST0302,22,5,351.82
CUST0303,23,8,402.28
CUST0304,30,3,55.42
CUST0305,38,5,285.35
CUST0306,111,3,134.64
CUST0307,21,5,387.04
CUST0308,11,1,78.59
CUST0309,47,7,555.02
CUST0310,9,2,77.54
CUST0311,17,4,359.19
CUST0312,2,6,342.11
CUST0313,1,7,577.69
CUST0314,98,9,359.53
CUST0315,54,4,176.11
CUST0316,35,1,55.48
CUST0317,15,4,212.15
CUST0318,5,6,450.58
CUST0319,5,3,136.07
CUST0320,8,4,293.17
CUST0321,23,2,129.29
CUST0322,37,6,274.39
CUST0323,32,8,504.75
CUST0324,9,7,283.74
CUST0325,92,2,194.01
CUST0326,40,6,30.0
CUST0327,24,9,571.13
CUST0328,28,3,44.12
CUST0329,16,8,363.89
CUST0330,8,7,338.01
CUST0331,13,6,480.92
CUST0332,42,10,361.57
CUST0333,1,5,380.8
CUST0334,3,5,132.12
CUST0335,1,5,384.67
CUST0336,1,5,202.57
CUST0337,58,4,205.87
CUST0338,36,10,432.72
CUST0339,19,3,226.94
CUST0340,3,2,143.51
CUST0341,20,6,353.22
CUST0342,19,4,107.85
CUST0343,5,4,142.8
CUST0344,17,8,235.43
CUST0345,15,5,25.19
CUST0346,28,4,300.91
CUST0347,30,7,304.1
CUST0348,1,4,172.92
CUST0349,14,2,159.84
CUST0350,29,2,80.96
CUST0351,20,3,99.57
CUST0352,58,3,136.52
CUST0353,32,8,218.77
CUST0354,5,6,341.32
CUST0355,2,1,42.53
CUST0356,30,8,318.84
CUST0357,1,5,190.61
CUST0358,26,4,191.5
CUST0359,84,5,258.35
CUST0360,25,7,277.2
CUST0361,14,6,256.95
CUST0362,30,3,145.11
CUST0363,18,4,185.41
CUST0364,23,2,101.24
CUST0365,85,4,145.87
CUST0366,14,1,70.09
CUST0367,97,9,467.43
CUST0368,70,3,119.77
CUST0369,6,1,56.89
CUST0370,2,5,242.56
CUST0371,3,4,61.29
CUST0372,1,6,340.91
CUST0373,2,5,148.05
CUST0374,34,8,549.51
CUST0375,2,5,225.83
CUST0376,11,7,459.21
CUST0377,55,4,149.58
CUST0378,1,1,51.4
CUST0379,50,5,371.02
CUST0380,9,4,178.48
CUST0381,3,3,114.55
CUST0382,35,2,126.2
CUST0383,29,12,752.56
CUST0384,62,5,195.13
CUST0385,39,10,102.91
CUST0386,48,6,226.8
CUST0387,9,1,63.55
CUST0388,5,6,207.0
CUST0389,41,2,99.56
CUST0390,49,4,147.4
CUST0391,139,5,56.78
CUST0392,15,8,291.92
CUST0393,13,4,253.85
CUST0394,44,2,10.0
CUST0395,12,1,55.04
CUST0396,80,8,210.23
CUST0397,58,8,497.35
CUST0398,16,4,257.15
CUST0399,41,1,46.56
CUST0400,42,9,419.46
CUST0401,3,4,135.49
CUST0402,69,2,46.18
CUST0403,21,4,335.85
CUST0404,52,3,98.1
CUST0405,11,8,650.85
CUST0406,67,9,295.29
CUST0407,14,4,242.02
CUST0408,1,4,108.98
CUST0409,70,5,302.34
CUST0410,2,11,478.37
CUST0411,11,8,350.0
CUST0412,89,6,373.2
CUST0413,90,2,81.23
CUST0414,25,8,171.5
CUST0415,29,7,456.58
CUST0416,17,6,162.49
CUST0417,10,5,301.65
CUST0418,11,3,208.38
CUST0419,33,5,212.45
CUST0420,41,3,220.94
CUST0421,47,3,178.91
CUST0422,46,7,252.58
CUST0423,2,4,312.11
CUST0424,20,4,108.67
CUST0425,1,6,254.8
CUST0426,23,6,275.24
CUST0427,17,3,186.31
CUST0428,65,4,289.23
CUST0429,12,6,426.33
CUST0430,3,6,326.85
CUST0431,4,6,266.37
CUST0432,43,6,80.88
CUST0433,28,3,71.15
CUST0434,3,5,426.67
CUST0435,2,2,26.56
CUST0436,36,5,171.55
CUST0437,2,3,218.68
CUST0438,51,3,162.58
CUST0439,36,5,342.8
CUST0440,2,11,669.42
CUST0441,2,7,555.74
CUST0442,129,7,391.36
CUST0443,14,4,253.08
CUST0444,13,1,35.52
CUST0445,50,4,246.91
CUST0446,88,5,210.39
CUST0447,128,4,163.75
CUST0448,41,4,271.58
CUST0449,14,7,476.23
CUST0450,2,6,502.61
CUST0451,45,8,659.72
CUST0452,24,4,273.39
CUST0453,16,3,46.77
CUST0454,71,1,86.55
CUST0455,3,4,273.44
CUST0456,20,1,34.68
CUST0457,1,4,258.31
CUST0458,18,3,87.76
CUST0459,1,5,311.86
CUST0460,3,6,142.05
CUST0461,3,6,203.01
CUST0462,31,4,256.79
CUST0463,41,4,285.83
CUST0464,26,5,282.54
CUST0465,98,1,44.28
CUST0466,14,9,69.32
CUST0467,10,7,320.74
CUST0468,60,5,303.35
CUST0469,7,4,174.66
CUST0470,99,5,247.74
CUST0471,1,4,185.15
CUST0472,105,1,43.57
CUST0473,1,3,154.55
CUST0474,66,7,311.82
CUST0475,22,6,473.19
CUST0476,148,10,58.72
CUST0477,2,4,156.33
CUST0478,24,5,162.97
CUST0479,104,6,326.29
CUST0480,22,6,309.26
CUST0481,29,8,659.55
CUST0482,35,4,356.09
CUST0483,18,3,103.61
CUST0484,29,3,150.03
CUST0485,26,9,485.33
CUST0486,69,7,238.31
CUST0487,1,2,125.14
CUST0488,9,2,90.42
CUST0489,90,4,114.59
CUST0490,66,6,266.45
CUST0491,18,9,270.42
CUST0492,29,11,778.06
CUST0493,9,4,352.12
CUST0494,6,7,384.27
CUST0495,18,7,365.58
CUST0496,13,3,159.15
CUST0497,26,7,515.51
CUST0498,2,5,366.07
CUST0499,109,2,95.37
CUST0500,128,9,495.47
