CustomerID,Recency,Frequency,Monetary
250,57,2,677.75
251,10,5,719.65
252,14,3,113.01
253,57,3,352.38
254,11,3,95.09
255,5,6,63.44
256,24,6,61.23
257,82,4,125.61
258,35,5,168.61
259,25,5,533.27
260,3,7,38.31
261,28,5,398.32
262,138,3,227.44
263,4,4,101.88
264,21,7,203.67
265,62,5,106.98
266,40,7,271.96
267,35,8,170.67
268,36,7,53.88
269,13,5,37.19
270,10,8,237.36
271,49,4,698.1
272,49,6,126.46
273,60,8,396.15
274,73,6,322.46
275,21,3,804.52
276,20,8,516.08
277,48,4,250.83
278,31,7,321.03
279,36,2,685.97
280,47,10,153.01
281,66,6,118.71
282,12,4,3.26
283,14,5,525.56
284,2,6,484.31
285,25,4,33.1
286,1,5,258.01
287,18,6,187.08
288,23,3,37.91
289,10,7,1182.25
290,26,7,72.51
291,0,8,20.88
292,1,4,271.05
293,51,7,402.82
294,13,3,9.89
295,4,4,322.51
296,22,4,227.97
297,44,0,32.7
298,7,1,56.81
299,29,1,251.78
300,2,7,105.45
301,1,5,835.72
302,22,5,512.35
303,23,8,1232.54
304,30,3,90.2
305,38,5,1049.22
306,111,3,169.29
307,21,5,128.09
308,11,1,15.5
309,47,7,16.26
310,9,2,353.31
311,17,4,183.71
312,2,6,77.06
313,0,7,285.55
314,98,9,87.45
315,54,4,258.56
316,35,1,133.52
317,15,4,520.42
318,5,6,515.6
319,5,3,194.65
320,8,4,129.61
321,23,2,135.09
322,37,6,491.53
323,32,8,119.33
324,9,7,70.36
325,92,2,26.55
326,40,6,188.6
327,24,9,197.41
328,28,3,551.48
329,16,8,75.02
330,8,7,143.89
331,13,6,495.71
332,42,10,520.54
333,0,5,145.65
334,3,5,184.37
335,1,5,108.41
336,1,5,808.93
337,58,4,37.89
338,36,10,814.29
339,19,3,345.48
340,3,2,227.51
341,20,6,9.96
342,19,4,193.65
343,5,4,157.15
344,17,8,52.74
345,15,5,320.49
346,28,4,1063.7
347,30,7,247.79
348,1,4,376.32
349,14,2,21.27
350,29,2,162.21
351,20,3,37.11
352,58,3,284.64
353,32,8,836.53
354,5,6,325.22
355,2,0,23.97
356,30,8,131.4
357,0,5,239.99
358,26,4,154.86
359,84,5,538.09
360,25,7,505.69
361,14,6,283.89
362,30,3,140.26
363,18,4,88.45
364,23,2,33.57
365,85,4,131.5
366,14,1,159.91
367,97,9,337.94
368,70,3,322.02
369,6,1,21.81
370,2,5,150.89
371,3,4,60.19
372,0,6,51.17
373,2,5,526.86
374,34,8,12.85
375,2,5,163.0
376,11,7,55.25
377,55,4,634.41
378,0,1,244.28
379,50,5,78.95
380,9,4,209.4
381,3,3,394.46
382,35,2,951.87
383,29,12,74.71
384,62,5,651.95
385,39,10,816.82
386,48,6,744.59
387,9,1,302.7
388,5,6,298.13
389,41,2,154.86
390,49,4,418.78
391,139,5,227.33
392,15,8,339.44
393,13,4,167.83
394,44,2,394.47
395,12,1,521.99
396,80,8,47.5
397,58,8,536.8
398,16,4,233.15
399,41,1,558.65
400,42,9,169.32
401,3,4,142.95
402,69,2,739.75
403,21,4,86.77
404,52,3,557.78
405,11,8,198.51
406,67,9,216.52
407,14,4,110.65
408,0,4,255.32
409,70,5,118.01
410,2,11,12.02
411,11,8,95.24
412,89,6,1.92
413,90,2,1149.89
414,25,8,1012.2
415,29,7,150.84
416,17,6,391.0
417,10,5,127.31
418,11,3,333.59
419,33,5,491.09
420,41,3,879.86
421,47,3,153.35
422,46,7,458.77
423,2,4,92.74
424,20,4,1391.69
425,1,6,7.83
426,23,6,277.55
427,17,3,323.21
428,65,4,349.47
429,12,6,38.48
430,3,6,836.76
431,4,6,59.97
432,43,6,292.46
433,28,3,75.57
434,3,5,110.11
435,2,2,237.2
436,36,5,161.97
437,2,3,52.39
438,51,3,56.24
439,36,5,162.46
440,2,11,424.76
441,2,7,684.73
442,129,7,26.36
443,14,4,149.82
444,13,1,31.69
445,50,4,5.02
446,88,5,325.16
447,128,4,276.73
448,41,4,53.39
449,14,7,79.9
450,2,6,7.2
451,45,8,540.45
452,24,4,1102.97
453,16,3,43.67
454,71,0,78.98
455,3,4,608.42
456,20,1,782.99
457,0,4,163.23
458,18,3,15.58
459,1,5,12.06
460,3,6,255.96
461,3,6,149.72
462,31,4,8.72
463,41,4,262.58
464,26,5,3.41
465,98,1,464.46
466,14,9,109.77
467,10,7,12.33
468,60,5,266.28
469,7,4,152.09
470,99,5,1092.6
471,0,4,235.71
472,105,1,96.57
473,1,3,370.78
474,66,7,95.03
475,22,6,703.78
476,148,10,140.87
477,2,4,239.46
478,24,5,15.57
479,104,6,166.6
480,22,6,535.79
481,29,8,491.43
482,35,4,76.2
483,18,3,76.89
484,29,3,509.98
485,26,9,799.49
486,69,7,30.07
487,1,2,179.38
488,9,2,123.5
489,90,4,613.66
490,66,6,26.17
491,18,9,71.14
492,29,11,418.87
493,9,4,15.8
494,6,7,203.5
495,18,7,175.08
496,13,3,122.12
497,26,7,150.55
498,2,5,226.47
499,109,2,52.79
500,128,9,254.59
